	acc_per	loss	epochs	df_test_%	positives	count	mean	std	min	25%	50%	60%	70%	75%	80%	85%	86%	87%	88%	89%	90%	91%	92%	93%	94%	95%	96%	97%	98%	max
TFm_UBER_neg_vgood16_mult_28	73.28	0.54	10.0	27.3	20.0	275.0	0.5294	0.1466	0.2407	0.4197	0.519	0.5511	0.5881	0.6326	0.6623	0.7173	0.7222	0.7258	0.7322	0.7395	0.7515	0.7545	0.7595	0.7626	0.7727	0.7814	0.8014	0.8107	0.815	0.8735
TFm_UBER_neg_vgood16_mult_28_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	8.74	10.14	10.91	14.46	15.94	18.18	19.05	20.51	22.22	21.21	22.58	25.0	28.0	31.82	35.0	41.18	50.0	54.55	55.56	66.67	-1.0
TFm_UBER_neg_vgood16_mult_64	81.27	0.45	19.0	24.4	20.0	275.0	0.4542	0.2545	0.0164	0.2167	0.4891	0.5866	0.6407	0.6611	0.6829	0.7194	0.726	0.7289	0.755	0.762	0.7633	0.7658	0.7795	0.7957	0.824	0.84	0.8534	0.8669	0.8855	0.9706
TFm_UBER_neg_vgood16_mult_64_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	8.74	9.42	11.82	13.25	13.04	16.36	16.67	17.95	19.44	21.21	22.58	21.43	24.0	27.27	30.0	29.41	35.71	45.45	44.44	66.67	-1.0
TFm_UBER_neg_vgood16_mult_128	82.51	0.39	13.0	26.1	20.0	275.0	0.5126	0.2375	0.0712	0.2893	0.5748	0.6452	0.6859	0.7083	0.7197	0.7404	0.7516	0.7641	0.7686	0.7708	0.7775	0.788	0.7956	0.8137	0.8305	0.8354	0.841	0.876	0.8986	0.9661
TFm_UBER_neg_vgood16_mult_128_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	7.28	9.42	11.82	13.25	14.49	16.07	21.43	23.08	22.22	24.24	25.81	25.0	24.0	27.27	30.0	29.41	35.71	45.45	44.44	66.67	-1.0
TFm_UBER_neg_vgood16_mult_conv2	86.28	0.35	10.0	17.9	20.0	275.0	0.6032	0.2029	0.1505	0.4345	0.6344	0.7195	0.7656	0.7814	0.8018	0.8171	0.8192	0.8207	0.8248	0.8275	0.8317	0.8331	0.8377	0.8437	0.848	0.8567	0.876	0.88	0.8994	0.9422
TFm_UBER_neg_vgood16_mult_conv2_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	8.25	8.76	9.09	7.23	7.25	9.26	11.9	12.82	13.89	15.15	16.13	17.86	20.0	18.18	20.0	23.53	28.57	36.36	44.44	50.0	-1.0
TFm_UBER_neg_vgood16_mult_conv	76.66	0.49	11.0	27.3	20.0	275.0	0.529	0.2108	0.1473	0.3175	0.595	0.635	0.6655	0.6796	0.6968	0.7423	0.7475	0.7498	0.7557	0.7671	0.7942	0.8215	0.8249	0.8271	0.8308	0.835	0.8434	0.8634	0.8946	0.9528
TFm_UBER_neg_vgood16_mult_conv_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	7.77	9.42	11.82	13.25	14.71	14.55	16.67	17.95	19.44	21.21	22.58	25.0	28.0	31.82	35.0	41.18	42.86	45.45	55.56	66.67	-1.0
TFm_UBER_neg_vgood16__simp_cordo	65.21	0.62	11.0	15.9	20.0	275.0	0.5609	0.143	0.2443	0.4587	0.5712	0.6149	0.6689	0.6806	0.6956	0.71	0.7125	0.7186	0.7339	0.7411	0.7455	0.7557	0.7625	0.7662	0.7694	0.7706	0.7717	0.7737	0.7892	0.8129
TFm_UBER_neg_vgood16__simp_cordo_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	7.77	9.42	11.82	13.41	14.49	18.18	19.51	20.51	22.22	24.24	25.81	25.0	16.0	4.55	0.0	0.0	0.0	0.0	0.0	0.0	-1.0
TFm_UBER_neg_vgood16_mult_linear	63.46	0.62	10.0	21.1	20.0	275.0	0.508	0.1551	0.2287	0.3848	0.4919	0.5288	0.5637	0.5919	0.6397	0.6978	0.7028	0.7112	0.7254	0.7413	0.7724	0.7797	0.782	0.7847	0.7904	0.8003	0.8093	0.8218	0.8431	0.9083
TFm_UBER_neg_vgood16_mult_linear_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	7.77	10.14	11.82	14.46	15.94	18.18	19.05	20.51	22.22	24.24	22.58	21.43	20.0	18.18	20.0	5.88	7.14	0.0	0.0	0.0	-1.0
TFm_UBER_neg_vgood16_mult_dense2	73.08	0.51	19.0	29.6	20.0	275.0	0.5053	0.1913	0.0235	0.3647	0.566	0.5871	0.6056	0.6155	0.6298	0.6404	0.6468	0.6519	0.6562	0.6735	0.6847	0.7109	0.717	0.7274	0.7373	0.7534	0.7685	0.7887	0.8481	0.9465
TFm_UBER_neg_vgood16_mult_dense2_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	7.77	8.7	9.09	9.64	11.59	14.29	19.05	20.51	22.22	24.24	25.81	28.57	32.0	31.82	35.0	29.41	35.71	45.45	55.56	66.67	-1.0
TFm_UBER_neg_vgood16_mult_lstm	81.14	0.41	14.0	29.6	20.0	275.0	0.4974	0.2128	0.0556	0.3122	0.6218	0.6344	0.6374	0.6397	0.6461	0.6509	0.6521	0.6534	0.6625	0.6745	0.6785	0.6815	0.6861	0.6908	0.6935	0.7013	0.7469	0.8423	0.8949	0.9914
TFm_UBER_neg_vgood16_mult_lstm_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	8.25	10.22	11.82	13.25	16.18	18.18	23.81	25.64	25.0	24.24	25.81	28.57	32.0	31.82	35.0	35.29	42.86	54.55	66.67	66.67	-1.0
TFm_UBER_neg_vgood16__mult_gru	72.63	0.53	8.0	30.3	20.0	275.0	0.6847	0.1084	0.443	0.6146	0.6881	0.7109	0.7519	0.7634	0.7957	0.8038	0.8058	0.809	0.8156	0.8194	0.8229	0.8353	0.8441	0.8499	0.8543	0.8592	0.8642	0.8763	0.8829	0.8984
TFm_UBER_neg_vgood16__mult_gru_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	8.25	10.87	11.82	15.66	15.94	18.18	21.95	23.08	25.0	24.24	25.81	28.57	32.0	36.36	35.0	35.29	35.71	36.36	44.44	16.67	-1.0
TFm_UBER_neg_good9_mult_28	79.32	0.46	8.0	8.1	9.0	261.0	0.5342	0.0898	0.2759	0.4801	0.5442	0.5616	0.5791	0.5944	0.6092	0.6268	0.6281	0.6344	0.6397	0.6418	0.6485	0.6494	0.652	0.6544	0.6624	0.6786	0.6823	0.6944	0.7063	0.7529
TFm_UBER_neg_good9_mult_28_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	4.1	5.38	5.77	6.33	6.15	5.66	5.0	5.41	5.88	6.25	6.9	7.69	8.33	9.09	10.53	12.5	14.29	18.18	12.5	16.67	-1.0
TFm_UBER_neg_good9_mult_64	87.35	0.33	8.0	0.0	9.0	261.0	0.4436	0.127	0.2175	0.3198	0.4366	0.5031	0.5382	0.5496	0.5657	0.5811	0.5879	0.5896	0.5943	0.5987	0.603	0.6138	0.6196	0.6218	0.634	0.6427	0.6485	0.6667	0.6777	0.7484
TFm_UBER_neg_good9_mult_64_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	4.59	5.34	3.81	3.85	3.08	3.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0
TFm_UBER_neg_good9_mult_128	92.3	0.21	8.0	5.8	9.0	261.0	0.4436	0.1895	0.1028	0.273	0.439	0.5132	0.5671	0.5871	0.628	0.6554	0.6582	0.6789	0.6886	0.7007	0.7101	0.7177	0.7255	0.73	0.7384	0.7539	0.7657	0.7918	0.8049	0.8405
TFm_UBER_neg_good9_mult_128_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	4.62	3.85	2.88	3.75	4.62	5.77	5.13	5.41	5.88	6.25	6.9	7.41	4.17	4.76	5.26	6.25	7.14	9.09	12.5	0.0	-1.0
TFm_UBER_neg_good9_mult_conv2	89.76	0.25	9.0	4.1	9.0	261.0	0.3596	0.2075	0.0737	0.1521	0.3371	0.4018	0.52	0.5575	0.5896	0.6086	0.6126	0.6194	0.6237	0.6334	0.6379	0.6447	0.6542	0.6644	0.6681	0.6702	0.6882	0.7111	0.7634	0.817
TFm_UBER_neg_good9_mult_conv2_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	4.62	4.58	3.85	2.53	1.52	1.89	2.56	2.7	2.94	3.03	3.45	3.85	4.17	4.76	5.26	6.25	7.14	9.09	12.5	16.67	-1.0
TFm_UBER_neg_good9_mult_conv	94.91	0.14	21.0	11.9	9.0	261.0	0.3396	0.3075	0.0006	0.0775	0.2474	0.333	0.4705	0.5793	0.6872	0.7745	0.7944	0.8065	0.8222	0.8362	0.8419	0.8588	0.8871	0.8947	0.9083	0.9182	0.9295	0.9414	0.9578	0.973
TFm_UBER_neg_good9_mult_conv_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	4.62	6.15	6.67	7.59	9.09	9.62	10.0	10.81	11.76	12.5	10.34	11.11	12.5	14.29	10.53	11.76	14.29	18.18	25.0	33.33	-1.0
TFm_UBER_neg_good9__simp_cordo	78.78	0.48	9.0	8.2	9.0	261.0	0.5022	0.0963	0.3444	0.4025	0.5176	0.5444	0.5658	0.5723	0.5883	0.6145	0.6174	0.6218	0.6263	0.63	0.6344	0.6419	0.6503	0.6535	0.6563	0.6575	0.6588	0.6618	0.6665	0.7035
TFm_UBER_neg_good9__simp_cordo_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	4.08	5.34	3.85	2.53	3.08	3.77	4.88	5.41	5.88	6.25	6.9	7.69	8.33	9.52	10.53	12.5	7.69	9.09	12.5	0.0	-1.0
TFm_UBER_neg_good9_mult_linear	78.05	0.49	16.0	8.2	9.0	261.0	0.4446	0.2774	0.0001	0.1859	0.4092	0.5773	0.6542	0.6894	0.7276	0.7784	0.7878	0.7964	0.808	0.8141	0.8252	0.8306	0.8489	0.8548	0.862	0.8825	0.9049	0.9092	0.9224	0.9872
TFm_UBER_neg_good9_mult_linear_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	4.59	3.82	2.86	3.8	3.08	3.85	5.0	5.41	5.88	6.25	6.9	7.69	8.33	9.52	10.53	12.5	14.29	18.18	12.5	16.67	-1.0
TFm_UBER_neg_good9_mult_dense2	88.76	0.27	10.0	2.4	9.0	261.0	0.3669	0.322	0.0017	0.0671	0.204	0.5407	0.6948	0.7311	0.7504	0.7667	0.7682	0.7738	0.7756	0.7779	0.7822	0.7841	0.7861	0.7881	0.7911	0.7945	0.7958	0.8028	0.8078	0.866
TFm_UBER_neg_good9_mult_dense2_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	4.62	4.62	3.81	3.8	3.08	3.77	5.13	2.7	2.94	3.12	3.45	3.85	4.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0
TFm_UBER_neg_good9_mult_lstm	95.11	0.14	11.0	16.3	9.0	261.0	0.2349	0.3232	0.0	0.0035	0.0537	0.0905	0.2513	0.4009	0.6227	0.7737	0.7845	0.7951	0.8014	0.8096	0.822	0.8305	0.8494	0.8727	0.8864	0.9043	0.9152	0.9326	0.9383	0.9652
TFm_UBER_neg_good9_mult_lstm_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	4.59	4.62	5.71	6.33	7.58	9.43	10.0	10.81	11.76	12.5	13.79	14.81	16.67	19.05	21.05	18.75	15.38	9.09	0.0	0.0	-1.0
TFm_UBER_neg_good9__mult_gru	91.23	0.23	9.0	4.1	9.0	261.0	0.4123	0.2273	0.0458	0.2123	0.4133	0.4809	0.5647	0.5956	0.6389	0.6835	0.6876	0.6927	0.7001	0.709	0.7186	0.7252	0.7565	0.7689	0.778	0.7873	0.794	0.805	0.8252	0.8934
TFm_UBER_neg_good9__mult_gru_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	4.59	5.34	5.71	5.13	3.08	1.92	2.5	2.7	2.94	3.12	3.45	3.7	4.17	4.76	5.26	6.25	8.33	9.09	12.5	16.67	-1.0
TFm_UBER_neg_reg4_mult_28	84.82	0.41	8.0	0.0	8.0	261.0	0.4932	0.1021	0.2671	0.4201	0.4876	0.524	0.5555	0.5683	0.5856	0.6097	0.613	0.6178	0.6233	0.6311	0.6358	0.6377	0.6467	0.65	0.6554	0.6634	0.6693	0.6769	0.6863	0.7228
TFm_UBER_neg_reg4_mult_28_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	3.08	2.31	2.86	1.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0
TFm_UBER_neg_reg4_mult_64	94.67	0.15	10.0	2.4	8.0	261.0	0.3226	0.2035	0.0317	0.1563	0.2786	0.3381	0.4028	0.4443	0.5199	0.5881	0.6048	0.6128	0.6256	0.6326	0.6408	0.6501	0.6569	0.6732	0.6904	0.7163	0.7211	0.73	0.7492	0.8923
TFm_UBER_neg_reg4_mult_64_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	3.06	4.62	5.71	2.53	3.03	1.92	2.56	2.7	2.94	3.12	3.45	3.7	4.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0
TFm_UBER_neg_reg4_mult_128	96.56	0.09	10.0	15.2	8.0	261.0	0.4756	0.2524	0.0046	0.2586	0.4874	0.5443	0.6283	0.6833	0.734	0.778	0.7848	0.792	0.8017	0.806	0.8113	0.8205	0.8325	0.8417	0.8591	0.8738	0.8823	0.8901	0.9313	0.9905
TFm_UBER_neg_reg4_mult_128_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	4.08	5.38	6.67	8.97	10.77	11.32	15.0	16.22	14.71	15.62	13.79	14.81	16.67	14.29	15.79	18.75	23.08	27.27	25.0	16.67	-1.0
TFm_UBER_neg_reg4_mult_conv2	94.47	0.16	14.0	16.1	8.0	261.0	0.6991	0.3075	0.0091	0.4465	0.8299	0.8932	0.9451	0.965	0.9789	0.9891	0.9894	0.9896	0.9904	0.9916	0.9939	0.9947	0.9951	0.9961	0.9962	0.9974	0.9981	0.9987	0.999	0.9998
TFm_UBER_neg_reg4_mult_conv2_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	3.59	5.34	6.67	7.69	9.09	11.54	12.82	13.89	14.71	15.62	13.79	15.38	16.0	19.05	16.67	18.75	21.43	27.27	25.0	40.0	-1.0
TFm_UBER_neg_reg4_mult_conv	96.69	0.11	11.0	8.2	8.0	261.0	0.3803	0.2482	0.0075	0.1666	0.3359	0.4059	0.5441	0.5724	0.6102	0.6791	0.6941	0.6989	0.7026	0.7322	0.736	0.7773	0.7935	0.8068	0.8303	0.8448	0.8553	0.8769	0.9075	0.9412
TFm_UBER_neg_reg4_mult_conv_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	4.1	4.62	4.76	6.33	7.58	9.43	7.5	5.41	5.88	6.25	6.9	7.41	8.33	9.52	10.53	12.5	15.38	18.18	12.5	16.67	-1.0
TFm_UBER_neg_reg4__simp_cordo	89.47	0.27	17.0	10.2	8.0	261.0	0.4137	0.3647	0.017	0.0333	0.3281	0.6648	0.8116	0.8357	0.8439	0.8495	0.8498	0.8505	0.8508	0.8513	0.8516	0.8521	0.8529	0.8531	0.8542	0.8552	0.8559	0.8563	0.8574	0.8623
TFm_UBER_neg_reg4__simp_cordo_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	3.59	4.62	5.71	7.69	9.23	11.32	10.0	10.81	11.76	12.5	13.79	11.54	8.33	9.52	5.26	7.14	7.14	8.33	12.5	0.0	-1.0
TFm_UBER_neg_reg4_mult_linear	73.21	0.52	10.0	12.2	8.0	261.0	0.6692	0.1811	0.1061	0.56	0.7007	0.7549	0.7943	0.8177	0.8269	0.8462	0.8489	0.8579	0.8645	0.8714	0.8785	0.8873	0.8887	0.892	0.8943	0.8957	0.9028	0.9102	0.9202	0.957
TFm_UBER_neg_reg4_mult_linear_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	3.59	3.85	2.88	3.85	4.55	5.77	7.69	8.11	8.82	9.38	10.34	11.11	12.5	14.29	15.79	18.75	23.08	27.27	25.0	16.67	-1.0
