	acc_per	loss	epochs	df_test_%	positives	count	mean	std	min	25%	50%	60%	70%	75%	80%	85%	86%	87%	88%	89%	90%	91%	92%	93%	94%	95%	96%	97%	98%	max
TFm_UBER_pos_vgood16_mult_linear_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	4.37	5.8	7.27	9.64	10.0	9.09	9.52	10.26	8.33	9.09	9.68	10.71	12.0	13.64	15.0	17.65	21.43	27.27	22.22	16.67	-1.0
TFm_UBER_pos_vgood16_mult_dense2	71.11	0.53	11.0	11.7	12.0	275.0	0.4919	0.1566	0.1608	0.4137	0.4509	0.472	0.4909	0.506	0.5187	0.565	0.5983	0.6055	0.6174	0.6406	0.6774	0.7847	0.8344	0.9051	0.9166	0.9298	0.9346	0.9524	0.9616	0.9826
TFm_UBER_pos_vgood16_mult_dense2_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	2.91	4.35	4.55	6.02	4.35	5.45	7.14	7.69	8.33	9.09	9.68	10.71	12.0	13.64	15.0	17.65	14.29	18.18	22.22	33.33	-1.0
TFm_UBER_pos_vgood16_mult_lstm	76.49	0.47	8.0	17.9	12.0	275.0	0.5926	0.1039	0.4366	0.5225	0.5686	0.59	0.6117	0.6297	0.6513	0.6873	0.6904	0.6948	0.7154	0.7205	0.7367	0.7467	0.7612	0.7835	0.7889	0.8329	0.8382	0.864	0.9069	0.9541
TFm_UBER_pos_vgood16_mult_lstm_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	5.83	7.97	8.18	7.32	7.25	9.09	11.9	12.82	13.89	15.15	16.13	17.86	20.0	18.18	20.0	17.65	14.29	9.09	0.0	0.0	-1.0
TFm_UBER_pos_vgood16__mult_gru	77.2	0.47	9.0	14.7	12.0	275.0	0.4817	0.187	0.1989	0.3273	0.4539	0.5026	0.551	0.5798	0.6273	0.6739	0.6869	0.6944	0.7114	0.7438	0.7522	0.767	0.7983	0.8308	0.8724	0.8989	0.9035	0.9184	0.9436	0.971
TFm_UBER_pos_vgood16__mult_gru_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	5.34	5.11	6.36	7.23	7.25	7.27	9.52	10.26	11.11	12.12	12.9	14.29	16.0	18.18	15.0	11.76	7.14	9.09	11.11	0.0	-1.0
TFm_UBER_pos_good9_mult_28	79.62	0.47	9.0	22.7	18.0	271.0	0.4898	0.1446	0.2578	0.3794	0.4564	0.5017	0.5412	0.5753	0.5993	0.615	0.6273	0.6366	0.6503	0.6652	0.6771	0.7005	0.7321	0.7473	0.7672	0.7797	0.8167	0.8622	0.8839	0.9399
TFm_UBER_pos_good9_mult_28_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	8.37	11.11	12.96	15.85	17.65	16.67	21.95	23.68	25.0	24.24	23.33	25.93	24.0	22.73	15.79	17.65	21.43	27.27	22.22	33.33	-1.0
TFm_UBER_pos_good9_mult_64	86.02	0.37	8.0	23.2	18.0	271.0	0.4348	0.1785	0.172	0.2965	0.3917	0.455	0.5097	0.5548	0.5938	0.6451	0.6619	0.6715	0.6823	0.6976	0.7055	0.7092	0.7161	0.7273	0.7435	0.7538	0.8075	0.8384	0.8782	0.9238
TFm_UBER_pos_good9_mult_64_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	7.88	11.03	13.89	15.85	17.65	22.22	21.95	23.68	25.0	27.27	23.33	25.0	20.0	22.73	21.05	23.53	21.43	27.27	33.33	50.0	-1.0
TFm_UBER_pos_good9_mult_128	92.74	0.19	10.0	21.9	18.0	271.0	0.2663	0.2576	0.0047	0.0507	0.1697	0.2543	0.3398	0.4367	0.537	0.5966	0.6039	0.6128	0.6175	0.6483	0.6609	0.6828	0.6932	0.7081	0.7464	0.7758	0.825	0.8512	0.9333	0.9646
TFm_UBER_pos_good9_mult_128_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	8.37	11.85	14.81	19.51	22.06	24.07	26.83	26.32	25.0	24.24	20.0	17.86	20.0	22.73	26.32	29.41	35.71	36.36	44.44	50.0	-1.0
TFm_UBER_pos_good9_mult_conv2	95.84	0.11	18.0	32.9	18.0	271.0	0.4483	0.3691	0.0	0.0583	0.4186	0.593	0.7672	0.8348	0.8716	0.9234	0.9318	0.9428	0.9475	0.958	0.9638	0.9682	0.9738	0.9788	0.9869	0.99	0.9921	0.9927	0.9943	0.9998
TFm_UBER_pos_good9_mult_conv2_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	8.37	11.85	14.81	19.51	20.59	23.64	24.39	26.32	27.78	27.27	30.0	29.63	32.0	36.36	42.11	47.06	42.86	36.36	33.33	33.33	-1.0
